strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
poolAndRewire,10,11,9,True,0.6,1.0,0.388,210792.1804,80918.9164,127.5792,36.4574,13.9884,329.938,32.2148,5000,0.3998,,0.0372,0.2874,0.0579,5.3047
poolAndRewire,50,0,1,False,0.0,0.0,1.0,198298.8357,41660.6397,127.1803,39.5873,50.683,849.794,95.4463,3000,0.4612,,0.0603,0.2675,0.1175,2.9532
poolAndRewire,50,1,2,False,0.0,0.1,0.9997,211255.546,68078.0697,123.166,37.107,51.8767,1045.3033,128.9337,3000,0.5252,,0.0706,0.2936,0.1438,3.8494
poolAndRewire,50,2,3,False,0.1,0.1,0.9753,202187.75,55082.547,127.4847,39.117,51.0083,966.8973,111.1407,3000,0.5095,,0.0625,0.2934,0.1365,4.1052
poolAndRewire,50,3,3,True,0.1,0.1,0.9759,212021.9752,54287.1932,131.6862,38.8176,50.9524,964.8142,110.1266,5000,0.5138,,0.0648,0.2926,0.1393,4.2755
poolAndRewire,50,4,4,False,0.1,0.2,0.9546,211527.96,79427.972,123.475,36.3357,53.0823,1154.2433,145.103,3000,0.5421,,0.0794,0.2938,0.1518,4.438
poolAndRewire,50,5,5,False,0.2,0.3,0.9319,220900.408,70481.886,129.9197,37.5117,51.8147,1078.9993,129.6133,3000,0.5289,,0.0708,0.294,0.147,4.5556
poolAndRewire,50,6,6,False,0.3,0.3,0.9032,230159.608,63185.304,135.1167,39.088,51.4107,1033.133,120.132,3000,0.5224,,0.0668,0.2941,0.1442,4.6694
poolAndRewire,50,7,6,True,0.3,0.3,0.9058,215978.806,62916.8496,133.2666,38.6736,51.4016,1034.601,120.28,5000,0.5258,,0.0688,0.2938,0.146,4.8048
poolAndRewire,50,8,7,False,0.3,0.4,0.8317,215541.6783,88649.2567,123.6783,35.06,55.297,1264.746,157.8763,3000,0.5671,,0.0902,0.2968,0.1625,4.9491
poolAndRewire,50,9,8,False,0.4,0.6,0.7869,212994.5753,88551.7213,122.9267,35.0613,55.1,1259.0607,156.468,3000,0.5672,,0.0878,0.2997,0.1621,5.0666
poolAndRewire,50,10,9,False,0.6,1.0,0.7448,212440.6383,81643.556,127.068,36.6637,53.5987,1191.3363,142.0793,3000,0.5525,,0.0783,0.2984,0.1583,5.1783
