strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option1_directed_edges,10.0,500,0.9554,13038.6725,13038.6725,0.0,0.0,522.3275,7407.8575,1023.7488,800
option1_directed_edges,12.0,10,0.356,13314.4316,13314.4316,0.0,0.0,19.2788,441.7725,54.315,800
option1_directed_edges,12.0,20,0.4778,13689.8578,13689.8578,0.0,0.0,32.3075,709.6475,103.78,800
option1_directed_edges,12.0,50,0.6553,13689.8578,13689.8578,0.0,0.0,64.8488,1307.6212,218.4775,800
option1_directed_edges,12.0,100,0.7615,13689.8578,13689.8578,0.0,0.0,116.3412,2169.27,357.4938,800
option1_directed_edges,12.0,200,0.8385,13689.8578,13689.8578,0.0,0.0,217.0725,3696.0362,568.9825,800
option1_directed_edges,12.0,500,0.9105,13689.8578,13689.8578,0.0,0.0,520.85,7745.53,1059.095,800
option1_directed_edges,16.0,10,0.2424,15358.562,15358.562,0.0,0.0,16.9562,395.7038,43.4725,800
option1_directed_edges,16.0,20,0.357,15946.2243,15946.2243,0.0,0.0,30.2188,681.2188,86.48,800
option1_directed_edges,16.0,50,0.5174,15946.2243,15946.2243,0.0,0.0,61.7475,1305.8988,190.875,800
option1_directed_edges,16.0,100,0.64,15946.2243,15946.2243,0.0,0.0,111.9,2225.6138,329.1575,800
option1_directed_edges,16.0,200,0.7335,15946.2243,15946.2243,0.0,0.0,210.5912,3894.21,549.71,800
option1_directed_edges,16.0,500,0.8374,15946.2243,15946.2243,0.0,0.0,513.6487,8429.1862,1087.2312,800
option2_promotion,0.0,10,0.8476,15745.2348,6290.5044,137.1375,36.3488,13.6038,278.8087,36.4138,800
option2_promotion,0.0,20,0.9069,15829.6976,8475.8071,93.175,93.175,25.7625,508.875,88.96,800
option2_promotion,0.0,50,0.9602,15829.6976,8475.8071,93.175,93.175,55.16,986.9838,154.2188,800
