strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option1_directed_edges,8.0,200,0.9443,17119.5959,17119.5959,0.0,0.0,215.0412,3402.2438,549.59,800
option1_directed_edges,8.0,500,0.9728,17119.5959,17119.5959,0.0,0.0,515.45,6994.2788,952.7575,800
option1_directed_edges,10.0,10,0.4368,12769.3643,12769.3643,0.0,0.0,20.2013,459.0725,61.9062,800
option1_directed_edges,10.0,20,0.6085,18416.2901,18416.2901,0.0,0.0,33.5662,716.1888,153.1212,800
option1_directed_edges,10.0,50,0.7565,18416.2901,18416.2901,0.0,0.0,64.59,1266.0175,269.1263,800
option1_directed_edges,10.0,100,0.833,18416.2901,18416.2901,0.0,0.0,114.9088,2073.7162,391.695,800
option1_directed_edges,10.0,200,0.8944,18416.2901,18416.2901,0.0,0.0,215.9275,3530.9538,574.8388,800
option1_directed_edges,10.0,500,0.9558,18416.2901,18416.2901,0.0,0.0,520.3588,7368.2812,1014.8125,800
option1_directed_edges,12.0,10,0.3564,13314.4316,13314.4316,0.0,0.0,19.2475,442.0138,54.3412,800
option1_directed_edges,12.0,20,0.517,20030.9827,20030.9827,0.0,0.0,33.76,732.9538,149.2538,800
option1_directed_edges,12.0,50,0.6785,20030.9827,20030.9827,0.0,0.0,65.5075,1315.7712,268.4312,800
option1_directed_edges,12.0,100,0.7704,20030.9827,20030.9827,0.0,0.0,115.8,2154.0438,396.9862,800
option1_directed_edges,12.0,200,0.8443,20030.9827,20030.9827,0.0,0.0,216.7225,3678.1025,595.5875,800
option1_directed_edges,12.0,500,0.9076,20030.9827,20030.9827,0.0,0.0,518.8675,7713.7888,1067.445,800
option1_directed_edges,16.0,10,0.2408,15358.562,15358.562,0.0,0.0,16.9675,396.6625,43.475,800
option1_directed_edges,16.0,20,0.3815,24214.364,24214.364,0.0,0.0,33.3237,747.78,142.9925,800
option1_directed_edges,16.0,50,0.539,24214.364,24214.364,0.0,0.0,64.4525,1360.62,261.9337,800
option1_directed_edges,16.0,100,0.6516,24214.364,24214.364,0.0,0.0,113.8575,2261.7775,397.0475,800
option1_directed_edges,16.0,200,0.7458,24214.364,24214.364,0.0,0.0,214.0025,3949.9825,613.165,800
option1_directed_edges,16.0,500,0.8415,24214.364,24214.364,0.0,0.0,516.8825,8491.5,1145.3825,800
option2_promotion,0.0,10,0.8316,16619.3053,6283.4864,135.7312,35.6562,13.3888,273.8788,36.66,800
option2_promotion,0.0,20,0.8991,13934.0997,9327.0851,80.7912,80.7912,27.0888,543.1862,103.03,800
option2_promotion,0.0,50,0.958,14552.7249,9431.6234,88.185,88.185,56.805,1026.4562,180.7562,800
