query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length
23,0.5,0.7,279.185546875,205.08181762695312,61,206,4976,610,206
24,0.5,0.6,284.60296630859375,200.4446563720703,77,202,4832,571,202
25,0.5,0.9,322.71466064453125,226.4819793701172,71,200,4814,544,200
26,0.5,1.0,255.43179321289062,188.18865966796875,84,202,4984,513,202
27,0.5,0.4,296.8677062988281,218.48033142089844,75,201,4764,557,201
28,0.5,0.6,292.1471862792969,213.77886962890625,76,201,4826,584,201
29,0.5,1.0,219.55227661132812,186.6231231689453,46,204,4973,593,204
30,0.5,0.6,248.5279998779297,198.946533203125,73,200,4769,577,200
31,0.5,0.8,293.32720947265625,197.24093627929688,106,201,4818,536,201
32,0.5,0.7,270.13128662109375,186.95359802246094,118,202,4888,544,202
33,0.5,0.8,278.2529296875,206.4716796875,91,204,4908,560,204
34,0.5,0.8,222.47100830078125,194.8545379638672,60,201,4800,554,201
35,0.5,0.8,297.9161071777344,210.02488708496094,107,201,4893,556,201
36,0.5,0.6,278.81842041015625,215.40823364257812,108,201,4867,471,201
37,0.5,0.8,297.08233642578125,258.2046813964844,63,203,4867,613,203
38,0.5,0.8,309.2671813964844,235.5899658203125,60,203,4838,593,203
39,0.5,0.7,262.37103271484375,192.1588592529297,66,200,4805,536,200
40,0.5,0.8,284.0371398925781,215.99530029296875,60,201,4871,604,201
41,0.5,0.3,303.0704650878906,220.26828002929688,66,203,4903,568,203
42,0.5,0.6,258.80316162109375,195.44241333007812,86,204,4922,596,204
43,0.5,0.6,336.143310546875,227.07754516601562,90,200,4752,556,200
44,0.5,0.8,302.9471130371094,209.30812072753906,73,200,4958,590,200
45,0.5,0.6,331.72674560546875,232.25106811523438,83,207,4800,556,207
46,0.5,0.7,283.68170166015625,216.53134155273438,68,201,4728,558,201
47,0.5,0.8,270.87835693359375,227.54673767089844,58,201,4825,591,201
48,0.5,0.7,250.73838806152344,204.47900390625,60,213,5093,548,213
49,0.5,0.7,301.83917236328125,239.87014770507812,66,202,4862,565,202
50,0.5,0.7,326.8313903808594,242.4972686767578,60,204,4808,552,204
51,0.5,0.7,267.8608703613281,204.39767456054688,59,201,4874,496,201
52,0.5,0.6,322.2137451171875,238.3773956298828,66,203,4893,566,203
53,0.5,0.6,288.2181701660156,204.3978729248047,72,206,4964,587,206
54,0.5,0.6,287.25732421875,239.40261840820312,44,201,4918,507,201
55,0.5,0.7,321.9453430175781,223.94943237304688,66,200,4896,536,200
56,0.5,0.6,265.6997375488281,217.89007568359375,104,202,4916,585,202
57,0.5,0.9,298.3760681152344,228.1370391845703,92,203,4817,544,203
58,0.5,0.6,298.5130920410156,223.33030700683594,76,201,4821,528,201
59,0.5,0.9,259.2286376953125,182.46205139160156,44,200,4803,599,200
60,0.5,0.8,303.8436584472656,222.1205596923828,72,201,4867,559,201
61,0.5,0.7,258.55316162109375,206.12811279296875,60,203,4865,574,203
62,0.5,0.9,297.6583251953125,201.8539581298828,102,201,4844,571,201
63,0.5,0.3,260.51580810546875,213.233642578125,60,203,4770,536,203
64,0.5,0.6,297.66864013671875,228.3474578857422,50,201,4859,589,201
65,0.5,0.7,240.26950073242188,184.82144165039062,91,200,4835,533,200
66,0.5,0.7,277.1411437988281,182.5143280029297,76,201,4799,557,201
67,0.5,0.8,280.13507080078125,204.2866668701172,80,200,4916,577,200
