query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
136,in_distribution,0.7,259.2597351074219,212.478759765625,54,206,4834,550,206,0,16,16,22,0,0
137,in_distribution,0.8,317.865478515625,197.95338439941406,77,203,4799,584,203,0,16,41,20,0,0
138,in_distribution,0.8,245.1397247314453,164.8693389892578,81,203,4796,548,203,0,31,30,20,0,0
139,in_distribution,0.5,242.60389709472656,192.63192749023438,74,203,4943,622,203,0,16,53,5,0,0
140,in_distribution,1.0,245.14918518066406,186.71896362304688,75,202,4940,569,202,0,32,22,21,0,0
141,in_distribution,0.9,293.69622802734375,198.0037078857422,83,206,4912,492,206,0,32,28,23,0,0
142,in_distribution,0.9,269.212158203125,192.28187561035156,91,200,4889,556,200,0,16,45,30,0,0
143,in_distribution,0.8,275.10589599609375,189.957763671875,70,201,4882,538,201,0,16,45,9,0,0
144,in_distribution,0.9,330.9309387207031,190.87969970703125,85,201,4890,519,201,0,32,31,22,0,0
145,in_distribution,0.8,275.4371337890625,193.92764282226562,82,201,4772,555,201,0,16,39,27,0,0
146,in_distribution,0.6,243.12571716308594,171.60598754882812,116,200,4825,562,200,0,48,31,37,0,0
147,in_distribution,0.7,274.0947570800781,174.88201904296875,85,202,4901,565,202,0,32,31,22,0,0
148,in_distribution,0.7,250.79461669921875,174.41307067871094,42,202,4804,558,202,0,16,15,11,0,0
149,in_distribution,0.7,253.82766723632812,172.22885131835938,76,218,5187,534,218,0,32,23,21,0,0
150,in_distribution,0.6,245.11273193359375,160.8295440673828,89,201,4829,596,201,0,16,30,43,0,0
151,in_distribution,0.8,294.7681884765625,181.2679443359375,87,200,4727,533,200,0,48,18,21,0,0
152,in_distribution,0.6,246.6388702392578,172.15118408203125,70,200,4760,477,200,0,32,13,25,0,0
153,in_distribution,0.8,260.2861328125,184.60813903808594,87,206,4950,553,206,0,31,47,9,0,0
154,in_distribution,0.2,305.6619567871094,220.0330352783203,46,208,4996,573,208,0,16,12,18,0,0
155,in_distribution,0.6,270.84161376953125,193.57122802734375,76,208,4908,546,208,0,32,25,19,0,0
156,in_distribution,1.0,228.2267608642578,136.72543334960938,65,200,4761,514,200,0,16,21,28,0,0
157,in_distribution,0.7,303.9420166015625,196.9307403564453,78,200,4889,527,200,0,16,28,34,0,0
158,in_distribution,0.6,229.96493530273438,189.4435272216797,56,200,4970,601,200,0,31,16,9,0,0
159,in_distribution,0.5,281.96246337890625,190.98089599609375,84,200,4947,597,200,0,32,32,20,0,0
160,in_distribution,0.3,246.10389709472656,191.19825744628906,56,204,4852,549,204,0,15,31,10,0,0
161,in_distribution,0.5,312.85284423828125,209.34466552734375,86,200,4861,533,200,0,48,16,22,0,0
162,in_distribution,0.8,213.2189483642578,201.57228088378906,42,201,4843,576,201,0,29,8,5,0,0
163,in_distribution,0.8,250.2880096435547,176.59202575683594,92,201,4877,595,201,0,32,28,32,0,0
164,in_distribution,0.9,261.7605895996094,165.1104278564453,117,201,4905,523,201,0,48,58,11,0,0
165,in_distribution,0.7,220.01626586914062,175.56881713867188,54,202,4830,564,202,0,16,16,22,0,0
166,in_distribution,0.7,258.0494079589844,207.81961059570312,89,201,4712,555,201,0,64,15,10,0,0
167,in_distribution,0.6,334.31134033203125,186.6083221435547,103,207,4944,539,207,0,32,60,11,0,0
168,in_distribution,0.5,324.7484436035156,177.15469360351562,82,202,4990,493,202,0,48,16,18,0,0
169,in_distribution,0.7,269.32769775390625,166.03945922851562,91,201,4928,546,201,0,32,42,17,0,0
170,in_distribution,0.6,260.49053955078125,147.28709411621094,72,201,4859,502,201,0,16,29,27,0,0
171,in_distribution,0.2,295.2538757324219,191.26353454589844,89,204,4920,563,204,0,32,32,25,0,0
172,in_distribution,0.7,264.2758483886719,170.59255981445312,106,200,4830,538,200,0,58,26,22,0,0
173,in_distribution,0.7,250.90773010253906,161.82693481445312,116,200,4915,513,200,0,32,47,37,0,0
174,in_distribution,0.5,264.88775634765625,187.72698974609375,74,204,4970,592,204,0,16,47,11,0,0
175,in_distribution,0.9,302.8764343261719,199.36117553710938,87,201,4875,576,201,0,31,47,9,0,0
176,in_distribution,0.7,268.4891052246094,157.69235229492188,61,200,4928,573,200,0,16,28,17,0,0
177,in_distribution,0.8,263.6153869628906,192.33734130859375,68,201,4912,541,201,0,27,8,33,0,0
178,in_distribution,0.8,318.69403076171875,177.6991729736328,108,200,4793,548,200,0,32,59,17,0,0
179,in_distribution,0.8,259.97564697265625,188.10958862304688,84,203,4930,486,203,0,48,16,20,0,0
180,in_distribution,0.7,291.47784423828125,206.53515625,61,202,4830,532,202,0,32,12,17,0,0
181,in_distribution,0.7,243.5377197265625,201.27328491210938,57,204,4995,553,204,0,29,7,21,0,0
182,in_distribution,0.7,280.8030090332031,198.46240234375,72,204,4852,547,204,0,16,28,28,0,0
183,in_distribution,0.8,267.9986877441406,164.578125,69,207,4980,533,207,0,16,31,22,0,0
184,in_distribution,0.7,290.90338134765625,189.8567657470703,71,202,4864,515,202,0,16,25,30,0,0
185,in_distribution,0.7,294.1819763183594,203.2025604248047,89,200,4792,562,200,0,16,63,10,0,0
186,in_distribution,0.8,275.2892150878906,199.72850036621094,52,203,4862,590,203,0,16,16,20,0,0
187,in_distribution,0.9,275.32159423828125,202.59869384765625,65,202,4868,551,202,0,12,26,27,0,0
188,in_distribution,0.7,280.2745056152344,145.97586059570312,138,202,4994,542,202,0,48,69,21,0,0
189,in_distribution,0.6,319.5314025878906,197.14117431640625,84,203,4819,570,203,0,32,32,20,0,0
190,in_distribution,0.8,290.54754638671875,177.4315185546875,133,200,4782,521,200,0,32,63,38,0,0
191,in_distribution,0.7,242.76141357421875,168.86334228515625,107,200,4687,548,200,0,64,13,30,0,0
192,in_distribution,0.5,308.627197265625,181.41500854492188,77,200,4841,529,200,0,38,22,17,0,0
193,in_distribution,0.7,269.4061584472656,146.75302124023438,76,203,4837,550,203,0,16,41,19,0,0
194,in_distribution,0.4,246.7719268798828,178.52444458007812,112,201,4842,561,201,0,48,32,32,0,0
195,in_distribution,0.7,282.0584716796875,199.53578186035156,54,204,4906,540,204,0,13,32,9,0,0
196,in_distribution,0.5,250.4861297607422,174.10977172851562,98,202,4868,527,202,0,32,55,11,0,0
197,in_distribution,0.6,235.16989135742188,167.77891540527344,78,200,4823,569,200,0,32,28,18,0,0
198,in_distribution,0.5,264.8368835449219,177.39804077148438,85,201,4927,522,201,0,32,31,22,0,0
199,in_distribution,0.5,301.0693054199219,188.3965301513672,119,201,4835,548,201,0,80,13,26,0,0
0,covariance_shift,0.2,436.4479675292969,363.58074951171875,67,217,5007,580,217,0,16,31,20,0,0
1,covariance_shift,0.3,443.9766845703125,339.036865234375,103,201,4850,528,201,0,32,46,25,0,0
2,covariance_shift,0.6,448.93695068359375,345.7812805175781,77,214,4954,542,214,0,48,12,17,0,0
3,covariance_shift,0.6,396.2569274902344,356.09149169921875,42,200,4724,576,200,0,29,8,5,0,0
4,covariance_shift,0.7,583.728515625,410.5907287597656,68,200,4611,557,200,0,32,16,20,0,0
5,covariance_shift,0.4,498.2392883300781,360.1263427734375,79,209,4861,543,209,0,16,38,25,0,0
6,covariance_shift,0.6,413.9244079589844,330.29522705078125,81,207,4791,608,207,0,13,46,22,0,0
7,covariance_shift,0.5,399.4371337890625,304.09893798828125,52,205,4869,529,205,0,16,27,9,0,0
8,covariance_shift,0.4,466.6448059082031,371.7379455566406,53,209,4906,629,209,0,30,10,13,0,0
9,covariance_shift,0.4,460.068115234375,359.5726318359375,68,200,4640,616,200,0,32,16,20,0,0
10,covariance_shift,0.6,449.3124694824219,324.4908142089844,69,200,4685,574,200,0,16,32,21,0,0
11,covariance_shift,0.4,468.3169250488281,316.8529968261719,89,200,4744,540,200,0,32,39,18,0,0
12,covariance_shift,0.7,357.7715759277344,297.5536804199219,42,202,4742,614,202,0,16,15,11,0,0
13,covariance_shift,0.6,489.9891662597656,340.7581787109375,68,200,4692,563,200,0,16,27,25,0,0
14,covariance_shift,0.4,517.4829711914062,430.6805419921875,74,211,4870,598,211,0,48,15,11,0,0
15,covariance_shift,0.5,532.4412841796875,321.3128967285156,82,211,5032,558,211,0,30,14,38,0,0
16,covariance_shift,0.4,464.9373779296875,370.9309997558594,119,206,4753,588,206,0,32,82,5,0,0
