query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
139,0.0,0.7,227.49549865722656,189.48876953125,61,208,4976,558,208,0,32,27,2,0,0
140,0.0,0.7,300.1114196777344,198.0052490234375,86,200,4779,539,200,0,48,27,11,0,0
141,0.0,0.7,261.94775390625,214.5694122314453,49,200,4931,573,200,0,16,15,18,0,0
142,0.0,0.7,231.55470275878906,149.41610717773438,69,200,4738,520,200,0,16,46,7,0,0
143,0.0,0.8,235.79965209960938,187.16448974609375,53,201,4945,563,201,0,16,30,7,0,0
144,0.0,0.8,270.2283935546875,191.7924041748047,101,200,4770,514,200,0,48,28,25,0,0
145,0.0,1.0,263.3964538574219,179.38870239257812,90,201,4889,549,201,0,16,46,28,0,0
146,0.0,0.6,273.80450439453125,175.7494659423828,69,208,4909,549,208,0,32,16,21,0,0
147,0.0,0.4,215.34707641601562,215.34707641601562,27,201,4893,577,201,0,14,11,2,0,0
148,0.0,0.3,288.7912292480469,201.8300018310547,74,205,4985,586,205,0,16,46,12,0,0
149,0.0,0.8,207.60159301757812,178.43504333496094,69,203,4901,555,203,0,32,30,7,0,0
150,0.0,0.6,273.7662048339844,192.4942626953125,92,205,4949,554,205,0,32,49,11,0,0
151,0.0,0.7,247.78782653808594,173.5404815673828,97,200,4675,532,200,0,32,29,36,0,0
152,0.0,0.8,289.3811340332031,158.18724060058594,97,201,4854,557,201,0,48,31,18,0,0
153,0.0,0.8,287.3002624511719,198.2066650390625,65,200,4893,596,200,0,32,8,25,0,0
154,0.0,0.8,250.645751953125,188.80711364746094,63,205,4906,574,205,0,16,30,17,0,0
155,0.0,0.4,246.63540649414062,186.1978759765625,107,200,4814,579,200,0,94,11,2,0,0
156,0.0,0.8,225.17767333984375,158.70159912109375,43,201,4926,574,201,0,30,11,2,0,0
157,0.0,0.8,260.935791015625,190.4184112548828,58,202,4872,557,202,0,16,14,28,0,0
158,0.0,0.7,232.07489013671875,153.86740112304688,65,200,4682,501,200,0,32,15,18,0,0
159,0.0,0.8,276.91363525390625,203.20652770996094,74,200,4804,532,200,0,32,15,27,0,0
160,0.0,0.8,237.52713012695312,178.25347900390625,89,200,4785,500,200,0,45,29,15,0,0
161,0.0,0.6,285.17437744140625,179.82080078125,91,206,4941,562,206,0,32,43,16,0,0
162,0.0,0.7,245.69808959960938,167.80892944335938,91,200,4834,549,200,0,16,63,12,0,0
163,0.0,0.8,230.63107299804688,199.32797241210938,76,205,4833,531,205,0,16,58,2,0,0
164,0.0,1.0,287.7466735839844,182.58905029296875,75,204,4886,572,204,0,48,15,12,0,0
