query_id,distribution,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps
122,in_distribution,1.0,65.71407318115234,32.89442443847656,53,51,915
123,in_distribution,1.0,47.20350646972656,27.860702514648438,40,51,946
124,in_distribution,1.0,72.685791015625,44.5367546081543,38,51,908
125,in_distribution,0.9,69.18206024169922,41.649391174316406,68,54,929
126,in_distribution,1.0,52.55958938598633,35.40319061279297,35,51,881
127,in_distribution,1.0,56.18569564819336,41.01628494262695,51,51,889
128,in_distribution,1.0,73.84056091308594,44.38679122924805,53,51,922
129,in_distribution,1.0,57.125877380371094,41.92911911010742,65,52,913
130,in_distribution,1.0,66.03427124023438,28.5794734954834,41,50,854
131,in_distribution,1.0,46.44550704956055,36.3834228515625,21,50,843
132,in_distribution,1.0,44.04439163208008,26.36628532409668,31,51,946
133,in_distribution,1.0,69.47340393066406,36.853416442871094,81,50,895
134,in_distribution,0.8,74.478271484375,41.44358444213867,29,50,880
135,in_distribution,1.0,62.91411590576172,34.430850982666016,31,50,842
136,in_distribution,1.0,59.95262908935547,35.983909606933594,68,51,895
137,in_distribution,1.0,59.74940872192383,24.756572723388672,62,50,904
138,in_distribution,1.0,75.05638885498047,36.18544387817383,60,52,996
139,in_distribution,1.0,33.902408599853516,23.335060119628906,35,50,962
140,in_distribution,1.0,80.95013427734375,35.532867431640625,53,50,917
141,in_distribution,1.0,50.23712921142578,27.999723434448242,47,51,913
142,in_distribution,0.9,76.18927764892578,38.0584716796875,52,50,901
143,in_distribution,1.0,44.992515563964844,23.503978729248047,71,52,975
144,in_distribution,1.0,33.030006408691406,30.3743953704834,35,50,902
145,in_distribution,1.0,73.18013000488281,27.114953994750977,53,50,882
146,in_distribution,0.9,50.84325408935547,37.78271484375,41,51,836
147,in_distribution,0.9,68.46112823486328,41.21371078491211,29,54,974
148,in_distribution,1.0,62.02709197998047,40.1742057800293,42,51,907
149,in_distribution,0.9,45.399410247802734,33.94734573364258,45,50,896
150,in_distribution,0.9,37.80097198486328,34.201663970947266,28,53,964
151,in_distribution,1.0,54.54502487182617,35.43669891357422,37,50,884
152,in_distribution,1.0,67.03199005126953,36.86180877685547,39,51,939
153,in_distribution,0.8,64.44287109375,34.359134674072266,42,50,961
154,in_distribution,1.0,38.70205307006836,33.918697357177734,28,51,981
155,in_distribution,1.0,74.16603088378906,39.46108627319336,74,53,970
156,in_distribution,1.0,53.058719635009766,36.25731658935547,31,51,913
157,in_distribution,1.0,48.06730651855469,30.84857177734375,55,51,1032
158,in_distribution,1.0,62.223514556884766,33.43624496459961,75,50,961
159,in_distribution,1.0,72.1710433959961,29.92575454711914,58,50,890
160,in_distribution,0.9,43.04423522949219,33.23422622680664,28,51,925
161,in_distribution,1.0,45.84292984008789,21.3454647064209,39,50,896
162,in_distribution,1.0,60.01569366455078,36.59358215332031,60,50,882
163,in_distribution,1.0,65.53775787353516,54.08827209472656,37,52,917
164,in_distribution,0.9,66.71448516845703,41.69202423095703,21,50,887
165,in_distribution,1.0,47.5710563659668,25.356687545776367,42,50,913
166,in_distribution,0.9,59.38957977294922,29.4981746673584,67,50,935
167,in_distribution,1.0,52.345375061035156,29.603599548339844,74,51,971
168,in_distribution,1.0,54.275856018066406,43.41511154174805,33,51,944
169,in_distribution,1.0,69.9814682006836,39.183570861816406,45,50,905
170,in_distribution,1.0,49.03178405761719,40.608253479003906,35,50,855
171,in_distribution,1.0,70.85447692871094,34.527427673339844,55,50,846
172,in_distribution,1.0,88.27450561523438,44.8464241027832,39,51,826
173,in_distribution,0.9,48.86170196533203,30.86772918701172,46,52,943
174,in_distribution,1.0,73.76189422607422,41.4894905090332,31,51,944
175,in_distribution,1.0,50.09933090209961,23.822998046875,72,50,961
176,in_distribution,1.0,59.47626495361328,40.8350830078125,53,51,931
177,in_distribution,1.0,51.63384246826172,35.06922912597656,77,50,859
178,in_distribution,1.0,79.36178588867188,35.99055862426758,54,52,882
179,in_distribution,1.0,49.763893127441406,34.26834487915039,40,54,976
180,in_distribution,1.0,49.81645965576172,33.44517517089844,86,50,938
181,in_distribution,1.0,59.976409912109375,38.408782958984375,28,52,943
182,in_distribution,1.0,78.28799438476562,26.877460479736328,43,50,896
183,in_distribution,1.0,53.58594512939453,29.750076293945312,35,50,900
184,in_distribution,1.0,55.933624267578125,32.26133728027344,42,51,955
185,in_distribution,1.0,54.569114685058594,23.52741813659668,21,51,926
186,in_distribution,1.0,67.02847290039062,43.96556091308594,44,50,897
187,in_distribution,0.9,68.39728546142578,34.52223205566406,58,50,893
188,in_distribution,1.0,52.3155403137207,34.89999771118164,66,51,872
189,in_distribution,1.0,62.75292205810547,30.92061424255371,68,50,961
190,in_distribution,1.0,60.51511764526367,53.52774429321289,28,51,883
191,in_distribution,1.0,63.576011657714844,37.045413970947266,45,51,927
192,in_distribution,1.0,72.43231201171875,42.12549591064453,28,51,844
193,in_distribution,0.8,48.43596649169922,33.86550521850586,48,50,882
194,in_distribution,1.0,68.21101379394531,39.55360412597656,53,50,877
195,in_distribution,1.0,46.32666015625,23.603120803833008,56,50,963
196,in_distribution,1.0,45.7590217590332,30.75070571899414,40,51,927
197,in_distribution,0.9,78.65320587158203,31.872894287109375,78,50,873
