strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
no_adaptation,100,10,9,False,0.6,1.0,0.8787,270095.6523,85340.5097,134.5967,34.8297,101.9847,2166.264,250.1977,3000,0.28,0.28,,0.0,0.0,0.0
no_adaptation,100,11,9,True,0.6,1.0,0.8819,269524.1102,84841.8536,134.6786,35.1806,102.0008,2162.0676,250.0372,5000,0.2768,0.2768,,0.0,0.0,0.0
no_adaptation,200,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,200.28,2753.0787,254.4413,3000,0.4053,0.4053,,0.0,0.0,0.0
no_adaptation,200,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,201.2587,3494.075,350.7073,3000,0.472,0.472,,0.0,0.0,0.0
no_adaptation,200,2,3,False,0.1,0.1,0.9989,264705.0513,57630.8203,140.8327,37.828,200.41,3215.4543,305.9787,3000,0.4385,0.4385,,0.0,0.0,0.0
no_adaptation,200,3,3,True,0.1,0.1,0.9988,265700.7986,57807.757,140.7046,37.9378,200.4468,3213.3974,305.9282,5000,0.4354,0.4354,,0.0,0.0,0.0
no_adaptation,200,4,4,False,0.1,0.2,0.9955,273500.853,88840.3753,130.7263,31.8463,202.0227,3886.986,426.9003,3000,0.504,0.504,,0.0,0.0,0.0
no_adaptation,200,5,5,False,0.2,0.3,0.9951,271723.1733,74992.7797,136.5667,35.4187,200.8783,3650.039,365.2333,3000,0.4794,0.4794,,0.0,0.0,0.0
no_adaptation,200,6,6,False,0.3,0.3,0.9917,263671.8267,65127.0377,139.873,38.5003,200.529,3500.515,348.2647,3000,0.462,0.462,,0.0,0.0,0.0
no_adaptation,200,7,6,True,0.3,0.3,0.9925,267375.9454,65319.3868,140.2456,38.2454,200.5174,3504.1322,348.5,5000,0.4711,0.4711,,0.0,0.0,0.0
