schedule,condition,epoch,ef,recall,edge_count
gradual,adaptive_layer0,23,64,0.6162000000000001,19200
gradual,adaptive_layer0,23,128,0.7456000000000002,19200
gradual,adaptive_layer0,24,32,0.509,20000
gradual,adaptive_layer0,24,64,0.6436000000000001,20000
gradual,adaptive_layer0,24,128,0.7637999999999999,20000
sudden,static,0,32,0.9822000000000001,0
sudden,static,0,64,0.9944,0
sudden,static,0,128,0.9992000000000001,0
sudden,static,1,32,0.984,0
sudden,static,1,64,0.9972000000000001,0
sudden,static,1,128,0.999,0
sudden,static,2,32,0.983,0
sudden,static,2,64,0.9967999999999999,0
sudden,static,2,128,0.9994,0
sudden,static,3,32,0.9832000000000001,0
sudden,static,3,64,0.9946,0
sudden,static,3,128,0.9985999999999999,0
sudden,static,4,32,0.988,0
sudden,static,4,64,0.9966000000000002,0
sudden,static,4,128,0.9992000000000001,0
sudden,static,5,32,0.9866000000000001,0
sudden,static,5,64,0.9962000000000001,0
sudden,static,5,128,0.999,0
sudden,static,6,32,0.9874,0
sudden,static,6,64,0.9966,0
sudden,static,6,128,0.9992000000000001,0
sudden,static,7,32,0.9838000000000001,0
sudden,static,7,64,0.9964000000000001,0
sudden,static,7,128,0.9987999999999999,0
sudden,static,8,32,0.9858000000000001,0
sudden,static,8,64,0.9952000000000001,0
sudden,static,8,128,0.999,0
sudden,static,9,32,0.9826000000000001,0
sudden,static,9,64,0.9952000000000001,0
sudden,static,9,128,0.9986,0
sudden,static,10,32,0.9845999999999999,0
sudden,static,10,64,0.9958,0
sudden,static,10,128,0.9984,0
sudden,static,11,32,0.9834,0
sudden,static,11,64,0.9952000000000001,0
sudden,static,11,128,0.9994000000000001,0
sudden,static,12,32,0.985,0
sudden,static,12,64,0.9966,0
sudden,static,12,128,0.9994,0
sudden,static,13,32,0.5046,0
sudden,static,13,64,0.6407999999999999,0
sudden,static,13,128,0.762,0
sudden,static,14,32,0.5111999999999999,0
sudden,static,14,64,0.6497999999999999,0
sudden,static,14,128,0.768,0
sudden,static,15,32,0.5154,0
sudden,static,15,64,0.6452,0
sudden,static,15,128,0.7612000000000001,0
sudden,static,16,32,0.5131999999999999,0
sudden,static,16,64,0.643,0
sudden,static,16,128,0.7562000000000001,0
sudden,static,17,32,0.5156000000000001,0
sudden,static,17,64,0.637,0
sudden,static,17,128,0.7564000000000001,0
sudden,static,18,32,0.498,0
sudden,static,18,64,0.6286,0
sudden,static,18,128,0.7642,0
sudden,static,19,32,0.5032,0
sudden,static,19,64,0.6418,0
sudden,static,19,128,0.7557999999999999,0
sudden,static,20,32,0.4772,0
sudden,static,20,64,0.6142,0
sudden,static,20,128,0.7304,0
